cluster_id,keyphrases,classification
127,"['Medication-Related Challenges', 'Adverse Pharmacological Effects', 'Treatment Adherence Difficulties']",Barrier
128,"['Psychological and Cognitive Impairments', 'Behavioral Changes Post-Abstinence', 'Depression and Ineffective Alternatives']",Barrier
129,"['Seasonal Affective Challenges', 'Environmental Trigger Patterns', 'Temporal Relapse Correlations']",Barrier
130,"['Proactive Relapse Behaviors', 'Routine Drug Access', 'Exploitation of Relationships for Substances']",Barrier
131,"['Prescription as a Relapse Trigger', 'Medical Procedures and Opioid Exposure', 'Chronic Pain and Opioid Prescription Cycle']",Barrier
132,"['Rationalization of Substance Use', 'External Stressors as Relapse Justification', 'Mental Barriers to Recovery']",Barrier
133,"['Emotional Distress Management', 'Psychological Barriers to Recovery', 'Anxiety-Induced Relapse Risk']",Barrier
134,"['Vigilance in Sobriety', 'Preventive Awareness', 'Commitment to Recovery']",Barrier
135,"['Cognitive Functioning Challenges', 'Daily Life Integration', 'Life Management Difficulties']",Barrier
136,"['Medication Dependency', 'Pain Management Challenges', 'Prescription Medication Misuse']",Barrier
137,"['Mental Health Medication Challenges', 'Fear of Medication Side Effects', 'Sleep Disturbance Impediments']",Barrier
138,"['Compulsive Consumption Patterns', 'Inability to Regulate Use', 'Immediate Use Temptation']",Barrier
139,"['Hopelessness and Environmental Stressors', 'Isolation and Occupational Strain']",Barrier
140,"['Psychosomatic and Physical Discomfort', 'Sensory Distress and Self-Harm Risk', 'Nocturnal Discomfort Challenges']",Barrier
141,"['Introversion as a Social Barrier', 'Dependence on External Support']",Barrier
142,"['Compulsion and Craving Management', 'Psychological Dependence on Opioids', 'Withdrawal Symptom Severity']",Barrier
143,"['Limited Access to Sleep Aids', 'Prescription Barriers for Insomnia']",Barrier
144,"['Diminished Personal Motivation', 'Psychological Aversion to Effort', 'Lack of Engagement in Recovery Activities']",Barrier
145,"['Physical and Mental Restlessness', 'Discomfort in Limbs', 'Restlessness as a Distress Source']",Barrier
146,"['Concurrent Substance Use Challenges', 'Alcohol as a Relapse Trigger', 'Substance Substitution Risk']",Barrier
147,"['Child Custody Concerns', 'Legal Implications of Treatment', 'Fear of Social Services Involvement']",Barrier
148,"['Chronic Pain Management', 'Complications from Physical Conditions', 'Surgical Aftermath and Recovery']",Barrier
149,"['Relapse Risk Post-Treatment', 'Environmental Triggers and Temptation', 'Medication-Assisted Treatment Challenges']",Barrier
150,"['Psychological Distress and Suicidality', 'Mental Health Obstacles', 'Risk of Self-Harm']",Barrier
151,"['Physical and Psychological Dependence', 'Compulsive Substance Use', 'Barriers to Behavioral Change']",Barrier
152,"['Dysfunctional Reward System', 'Deficient Positive Reinforcement', 'Dependence on Artificial Dopamine Stimulation']",Barrier
153,"['Inadequate Access to Services', 'Systemic Healthcare Barriers', 'Delayed Support Interventions']",Barrier
154,"['Sleep Disruption Challenges', 'Restorative Sleep Deficiency', 'Insomnia as a Relapse Risk']",Barrier
155,"['Physical Health Complications', 'Pain Management Challenges', 'Drug-Related Physical Harm']",Barrier
156,"['Emotional State as Relapse Trigger', 'Lack of Fulfilling Activities', 'Idle Time Management']",Barrier
157,"['Accessibility of Prescription Drugs', 'Medication Management Anxiety', 'Prescription-Related Temptation']",Barrier
158,"['Workplace Access to Opioids', 'Professional Environment Challenges', 'Medication Exposure Temptation']",Barrier
159,"['Substance Substitution Cycle', 'Dependency Transfer', 'Addiction Replacement Risk']",Barrier
160,"['Work-Related Stress', 'Performance Anxiety', 'Societal Expectations Pressure']",Barrier
161,"['Early Recovery Challenges', 'Specific Timeframe Vulnerability', 'Relapse Pattern Recognition']",Barrier
162,"['Chronic Pain Impediment', 'Physical Health Barriers', 'Pain-Related Mobility Restrictions']",Barrier
163,"['Emotional Stress from Relationships', 'Mental Health Strain', 'Interpersonal Conflict Burden']",Barrier
164,"['Anxiety-Induced Avoidance', 'Medical Engagement Fear', 'Communication Phobia']",Barrier
165,"['Medication Access Disruption', 'Resource Availability Interruption', 'Infrastructure-Related Barriers']",Barrier
166,"['Professional Support Delays', 'Access to Timely Care', 'Therapeutic Intervention Wait Times']",Barrier
167,"['THC Dependency Dilemma', 'Cannabis Use Conflict', 'Alternative Substance Concerns']",Barrier
168,"['Persistent Physical Symptoms', 'Health Complications', 'Opioid-Related Health Issues']",Barrier
169,"['Chronic Pain Management', 'Post-Surgical Pain Persistence', 'Pain-Induced Functional Impairment']",Barrier
170,"['Fear of Medication Dependency', 'Addiction Substitution Anxiety', 'Concerns Over Tapering Medications']",Barrier
171,"['Work-Related Stress Triggers', 'Cravings in Professional Settings', 'Occupational Environmental Cues']",Barrier
172,"['Loss of Hope', 'Disrupted Recovery Plans', 'Despair from External Events']",Barrier
173,"['Inflexible Treatment Protocols', 'Access to Care Challenges', 'Medication Availability Constraints']",Barrier
174,"['Internal Conflict and Lifestyle', 'Fantasy versus Reality', 'Nostalgia for Past Helplessness']",Barrier
175,"['Mental Health Challenges', 'Persistent Depressive Impact', 'Psychological Barriers to Recovery']",Barrier
176,"['Treatment Adequacy Concerns', 'Medication Efficacy Doubts', 'Long-term Commitment Challenges']",Barrier
177,"['Social Isolation', 'Support System Deficiency']",Barrier
178,"['Work-Related Physical Stress', 'Occupational Health Impediments', 'Employment Demands and Recovery Conflict']",Barrier
179,"['Academic Commitment Stress', 'Educational Obligations versus Health', 'Stress-Induced Relapse Risk']",Barrier
180,"['Trauma from Overdose Exposure', 'Emotional Distress from Addiction Witnessing', 'Triggering Events in Recovery Environment']",Barrier
181,"['Emotional Trauma from Custody Loss', 'Parental Rights Restrictions', 'Coping with Legal and Family Issues']",Barrier
182,"['Chronic Pain Management', 'Physical Pain as a Relapse Factor']",Barrier
183,"['Diminished Recovery Community Engagement', 'Risk of Relapse due to Idle Time']",Barrier
184,"['Sobriety Value Questioning', 'Lifelong Abstinence Doubts', 'Surrender Concept Struggle']",Barrier
185,"['Overwhelmed by Negative Outlook', 'Impending Doom Sensation', 'Catastrophic Perspective Impact']",Barrier
186,"['Cognitive Rationalization', 'Psychological Justification', 'Relapse Risk Normalization']",Barrier
187,"['Sleep Disruption', 'Mood Disorder Influence', 'Substance Use Catalyst']",Barrier
188,"['Inflexible Treatment Policies', 'Microdosing Exploration Hindrance', 'Progress Devaluation']",Barrier
189,"['Health Complications', 'Emergency Medical Intervention', 'Substance-Induced Disorders']",Barrier
190,"['Enabling Environments', 'Relapse Risk Exposure', 'Recovery Impediment']",Barrier
191,"['Emotional Distress', 'Psychological Struggles', 'Trauma Aftermath']",Barrier
192,"['Inadequate Pain Management', 'Euphoria Pursuit', 'Medication Side Effects']",Barrier
193,"['Medication Dependence Concerns', 'Challenges in Symptom Management', 'Fear of Substance Substitution']",Barrier
194,"['Chronic Relapse Cycle', 'Sustained Recovery Challenges', 'Dependency and Withdrawal Struggles']",Barrier
195,"['Work-Related Stress', 'Occupational Burnout', 'Stress-Induced Substance Use']",Barrier
196,"['Ineffective Medication Management', 'Medication-Related Discontent', 'Mental Health Treatment Barriers']",Barrier
197,"['Triggering Visual Cues', 'Conditioned Use Responses', 'Relapse Precipitating Triggers']",Barrier
198,"['Physical Discomfort', 'Exercise-Related Barriers', 'Pain-Induced Substance Seeking']",Barrier
199,"['Nicotine Dependency', 'Craving Management Challenges', 'Substance Replacement Issues']",Barrier
200,"['Sleep Aid Dependence', 'Withdrawal Symptom Management']",Barrier
201,"['Challenges in Feeling Normal', 'Emotional and Psychological Barriers', 'Craving-Triggering Normalcy']",Barrier
202,"['Environmental Substance Normalization', 'Lack of Early Intervention', 'Social and Academic Pressures']",Barrier
203,"['Impeded Physical Activity', 'Mental Health-Induced Inactivity', 'Coping Strategy Limitations']",Barrier
204,"['Sleep Disruption', 'Pain-Related Sleep Challenges']",Barrier
205,"['Disengagement from Support Systems', 'Cessation of Recovery Activities', 'Loss of Recovery Motivation']",Barrier
206,"['Physical Sensation-Related Distress', 'Eating-Related Discomfort', 'Sensory Discomfort Barriers']",Barrier
207,"['Medication Access Challenges', 'Prescription Barriers', 'Financial Constraints on Medication']",Barrier
208,"['Personal Pride as Barrier', 'Delayed Help-Seeking', 'Underestimation of Professional Help']",Barrier
209,"['Persistent Physical Discomfort', 'Restlessness and Agitation', 'Physical Stillness Challenges']",Barrier
210,"['Risky Behavior Engagement', 'Ignorance of Warning Signs', 'Safety and Legal Risks']",Barrier
211,"['Binge Behavior Patterns', 'Cycle of Binging and Withdrawal', 'Emergence of Eating Disorders']",Barrier
212,"['Detox Facility Selection Difficulty', 'Access to Reliable Information', 'Search Engine Limitations']",Barrier
213,"['Lack of Proactive Self-Improvement', 'Recognition of Personal Progress', 'Application of Recovery Knowledge']",Barrier
214,"['Familial Emotional Support Deficit', 'Negative Family Dynamics', ""Partner's Misunderstanding of Recovery""]",Barrier
215,"['Withdrawal Symptom Severity', 'Opioid Supply Stress', 'Substance Availability Temptation']",Barrier
216,"['Trauma-Induced Emotional Distress', 'Celebrity Death Trigger Effect']",Barrier
217,"['Workplace Stress and Pressure', 'Performance Anxiety Under Scrutiny', 'Increased Workload Stress']",Barrier
218,"['Physical Withdrawal Challenges', 'Precipitated Withdrawal Symptoms']",Barrier
219,"['Financial Stress and Debt', 'Drug-Related Financial Entanglements', 'Repayment-Triggered Relapse Risk']",Barrier
220,"['Fear of Social Judgment', 'Reluctance to Seek Help', 'Emotional Barriers to Support']",Barrier
221,"['Job Performance Anxiety', 'Workplace Re-entry Stress', 'Career Change Overwhelm']",Barrier
222,"['Substance-Centric Lifestyle', 'Functional Dependence on Drugs', 'Disruption of Daily Responsibilities']",Barrier
223,"['Inadequate Coping Mechanisms', 'Relapse Risk from Ineffective Strategies', 'Stress Management Deficiency']",Barrier
224,"['Triggering Online Environments', 'Relapse Cycle and Cravings', 'Challenges in Acknowledging Addiction']",Barrier
225,"['Illness as a Recovery Impediment', 'Health-Related Setbacks']",Barrier
226,"['Employment and Financial Uncertainty', 'Job Market Challenges', 'Socioeconomic Stressors']",Barrier
227,"['Time-Specific Craving Patterns', 'Nighttime Vulnerability to Relapse', 'Coping Difficulty with Isolation']",Barrier
228,"['Emotional Turmoil and Self-Hatred', 'Anger Management Challenges', 'Negative Self-Perception']",Barrier
229,"['Ineffectiveness of Support Meetings', 'Discomfort with Recovery Programs', 'Reluctance to Engage in Group Support']",Barrier
230,"['Emotional and Psychological Struggles', 'Risk of Relapse', 'Desire for Escape']",Barrier
231,"['Postponement of Recovery', 'Scheduling Conflicts', 'Delayed Treatment Engagement']",Barrier
232,"['Maladaptive Thought Patterns', 'Cognitive Obstacles to Recovery', 'Recognition Without Change']",Barrier
233,"['Psychological Challenges of Cessation', 'Impulse Control Difficulties', 'Strategy Selection for Quitting']",Barrier
234,"['Cycle of Addiction', 'Chronic Nature of Dependence', 'Compulsive Behavioral Patterns']",Barrier
235,"['Dependence on Tramadol', 'Challenges in Tapering', 'Physical and Psychological Withdrawal']",Barrier
236,"['Trauma-Induced Emotional Distress', 'PTSD Flashbacks as Triggers']",Barrier
237,"['Uncertainty About Employment', 'Fear of Functional Loss']",Barrier
238,"['Substance Substitution Risks', 'Self-Medication Challenges', 'Dependence on Alternative Substances']",Barrier
239,"['Lack of Medical Support', 'Feeling Unheard by Healthcare Providers', 'Insufficient Treatment Guidance']",Barrier
240,"['Workplace-Induced Emotional Stress', 'Risk of Job Loss', 'Loss of Trust in Employer']",Barrier
241,"['Financial Manipulation for Drugs', 'Compromising Moral Values', 'Manipulative Behaviors to Support Addiction']",Barrier
242,"['Self-Deception and Justification', 'Psychological Self-Trickery', 'Internal Challenge to Recovery']",Barrier
243,"['Dealer Contact as Trigger', 'Vulnerability to External Influence']",Barrier
244,"['Emotional Isolation', 'Social Support Deficiency', 'Triggering Solitude']",Barrier
245,"['Cue-Induced Craving', 'Environmental Triggers', 'Relapse Precipitants']",Barrier
246,"['Access to Overdose Reversal', 'Medical Response Inadequacy']",Barrier
247,"['Rationalizing Drug Use', 'Perceived Productivity Enhancement', 'Neglect of Social Impact']",Barrier
248,"['Stress-Induced Health Risks', 'Environmental Stressors', 'Psychological Stress Barriers']",Barrier
249,"['Social Perception Concerns', 'Fear of Loss', 'Weight Management Anxiety']",Barrier
250,"['Parenting While Recovering', 'Family Responsibility Stress', 'Childcare and Recovery Conflict']",Barrier
251,"['Support Network Withdrawal', 'Ineffective Sponsorship', 'Reluctance to Seek Help']",Barrier
252,"['External Pressure to Recover', 'Time-Limited Tapering', 'Job-Related Recovery Constraints']",Barrier
253,"['Physical Withdrawal Symptoms', 'Temperature Regulation Difficulty', 'Environmental Discomfort']",Barrier
255,"['Nightmare-Induced Anxiety', 'Vivid Using Dreams']",Barrier
256,"['Work Impairment Symptoms', 'Physical Tremors']",Barrier
257,"['Event-Related Anxiety', 'Social Engagement Stress', 'Emotional Overwhelm']",Barrier
258,"['Time-Sensitive Recovery', 'External Deadline Pressure', 'Urgency in Detoxification']",Barrier
259,"['Hostile Medical Interactions', 'Supportive Care Obstruction']",Barrier
260,"['Progression of Substance Use', 'Escalation of Use Patterns', 'Increasing Severity of Addiction']",Barrier
261,"['Apathetic Mindset Toward Recovery', 'Indifference to Consequences', 'Psychological Barriers to Motivation']",Barrier
262,"['Substance-Induced Impaired Judgment', 'Compromised Decision-Making Abilities']",Barrier
263,"['Emotional Triggers and Vulnerabilities', 'Susceptibility to Emotional Distress', 'Emotional Instability as a Relapse Factor']",Barrier
264,"['Exhaustion from Recovery Efforts', 'Cycle of Relapse and Attempted Recovery', 'Mental Strain from Quitting Attempts']",Barrier
265,"['Intrusive and Distressing Thoughts', 'Mental Health Struggles', 'Suicidal Ideation as a Barrier']",Barrier
266,"['Psychological Challenges at Night', 'Sleep-Related Emotional Distress', 'Evening-Time Recovery Struggles']",Barrier
267,"['Neglect of Self-Care', 'Apathy Towards Personal Hygiene', 'Demotivation Impacting Self-Care']",Barrier
268,"['Challenges in Committing to Quit', 'Difficulty Quitting Specific Substances', 'Struggle with Final Commitment']",Barrier
270,"['Health Concerns from Recovery Medication', 'Physical Side Effects as Barriers', 'Impact of Medication on Personal Health']",Barrier
271,"['Challenges of Day-to-Day Sobriety', 'Difficulty Adjusting to Sober Lifestyle', 'Work-Related Recovery Challenges']",Barrier
272,"['Mood Episodes as Recovery Barriers', 'Bipolar Disorder and Relapse Risk', 'Sleep Deprivation Affecting Mood']",Barrier
273,"['Adverse Effects from Detox Treatments', 'Health Risks from Recovery Medication']",Barrier
274,"['Medication Administration Challenges', 'Aversion to Medication Taste', 'Medication Absorption Issues']",Barrier
275,"['Denial of Addiction', 'Underestimation of Addiction Severity', 'Lack of Addiction Acknowledgment']",Barrier
